conn_ID,AREA_NAME,lng_wgs84,lat_wgs84,AREA_TYPE_NAME,出账收入,门店面积(㎡),fnid
id_166,平谷峪口,117.02198929999999,40.19302964,社区,22014.57124,109.2,237594
id_167,平谷金海,117.3039674,40.19507571,社区,16005.23529,42.0,238405
id_168,平谷马坊,117.01618619999999,40.07804706,社区,46517.58301,110.25,201178
id_169,平谷夏各庄,117.18532820000001,40.13043272,社区,5774.571242,132.3,218372
id_170,平谷迎宾路,117.10118390000001,40.15192983,商业街区,34938.82092,312.9,224769
id_171,顺义林河,116.67509059999999,40.11418469,社区,440053.2745,292.95,212486
id_172,顺义杨镇,116.8391392,40.15578314,产业园区,88003.86405,126.0,226108
id_173,顺义牛栏山,116.6618945,40.21319823,社区,242472.2588,126.0,243897
id_174,顺义新顺,116.65753899999999,40.13407112,商业街区,475862.081,357.0,218906
id_175,顺义木林,116.7855642,40.25214066,商业街区,118096.2078,126.0,256792
id_176,顺义空港,116.5631528,40.10705252,社区,384252.4497,105.0,210306
id_177,顺义义宾,116.65751000000002,40.13845211,商业街区,59952.08757999999,105.0,220334
id_178,顺义新国展,116.54834869999999,40.08241524,产业园区,49779.18562,89.25,202447
id_179,通州通镇,116.66461640000001,39.91385336,商业街区,572019.668,210.0,149650
id_180,通州梨园,116.6736713,39.886426,商业街区,740286.0131,420.0,140371
id_181,通州疃里,116.6996773,39.95515341,商业街区,274378.4876,126.0,162514
id_182,通州次渠,116.586258,39.80879217,商业街区,301982.7033,115.5,116066
id_183,通州张家湾,116.72753370000001,39.86509365,商业街区,321069.2719,136.5,133964
id_184,通州漷县,116.7989939,39.78242828,商业街区,313825.8771,94.5,107570
id_185,通州马驹桥,116.55143390000002,39.76171363,商业街区,189536.4706,105.0,101060
id_186,通州九棵树,116.66284669999999,39.89419729,商业街区,199727.8601,115.5,143224
id_187,通州运河明珠,116.69621299999999,39.90776816,商业街区,63676.85359,89.25,147519
id_188,通州物资学院,116.645895,39.93152215,社区,98965.81046000001,84.0,154642
id_189,通州四季悦城,116.588771,39.76715818,社区,67134.67582,126.0,102500
id_190,通州土桥,116.693991,39.878287,商业街区,27387.0366,126.0,138236
id_191,通州乔庄北街,116.6874423,39.90145568,社区,16252.04314,94.5,145374
id_192,通州焦王庄,116.6798067,39.93510818,商业街区,33031.406539999996,105.0,156081
id_193,延庆城关,115.9934923,40.47212946,社区,274933.9229,420.0,325779
id_194,延庆康庄,115.91591470000002,40.37847891,社区,46131.084969999996,119.7,296479
id_195,延庆南菜园,115.988772,40.45575105,社区,26069.46013,151.2,320780
id_196,延庆东外大街,115.9848596,40.466215399999996,商业街区,26987.904580000002,294.0,324348
id_197,延庆永宁商业街,116.17091459999999,40.53554684,社区,11208.51765,73.5,345832
