id,province_name,city_name,area_name,address,shop_name,site_type,site_type_code,lng_wgs84,lat_wgs84,fnid
166,北京市,北京市,朝阳区,富力又一城南,世纪华联购物中心(富力又一城店),购物服务;商场;购物中心,60101,116.5579473,39.84744402,128194
167,北京市,北京市,朝阳区,双柳北街38号,家有购物集团,购物服务;商场;购物中心,60101,116.561249,39.90295687,146045
168,北京市,北京市,朝阳区,周家庄路与大羊坊路交叉口西南100米,古隆盛生活用品广场,购物服务;商场;普通商场,60102,116.4654065,39.8573029,131018
169,北京市,北京市,朝阳区,常通路2号院1号楼,长楹天街购物中心-东区,购物服务;商场;商场,60100,116.5961989,39.92413012,152483
170,北京市,北京市,朝阳区,金盏乡森林公园东1号斯普瑞斯奥特莱斯B区1层,老佛爷百货,购物服务;商场;普通商场,60102,116.5905253,40.01128096,180327
171,北京市,北京市,朝阳区,红坊路6号,华创生活广场(鸿博店),购物服务;商场;普通商场,60102,116.4681557,39.82739111,121737
172,北京市,北京市,朝阳区,北辰东路8号时代名门商场B1层,名门多福生活广场(时代名门商场店),购物服务;商场;普通商场,60102,116.4003693,39.99036294,173122
173,北京市,北京市,朝阳区,新东路1号,北京外交人员免税商店(分店),购物服务;商场;免税品店,60103,116.4438209,39.94297202,158143
174,北京市,北京市,朝阳区,慧忠路3号院,天阳恒瑞广场,购物服务;商场;普通商场,60102,116.405276,39.9941972,174552
175,北京市,北京市,朝阳区,机场西路2号航站楼F1层,日上免税行(2号航站楼),购物服务;商场;免税品店,60103,116.58838940000001,40.07819909,201032
176,北京市,北京市,朝阳区,湖景东路9号,天虹商场(北京新奥店),购物服务;商场;普通商场,60102,116.3897699,39.999998100000006,176688
177,北京市,北京市,朝阳区,周家庄路与大羊坊路交叉口西南100米,古隆盛生活用品广场,购物服务;商场;普通商场,60102,116.4654065,39.8573029,131018
178,北京市,北京市,朝阳区,常通路2号院1号楼,长楹天街购物中心-东区,购物服务;商场;商场,60100,116.5961989,39.92413012,152483
179,北京市,北京市,朝阳区,光华路9号,世贸天阶南区,购物服务;商场;购物中心,60101,116.4459572,39.91476156,149576
180,北京市,北京市,朝阳区,朝阳公园路6号,蓝色港湾国际商区-南区,购物服务;商场;购物中心,60101,116.4701206,39.94756158,160294
181,北京市,北京市,朝阳区,金盏乡森林公园东1号斯普瑞斯奥特莱斯B区1层,老佛爷百货,购物服务;商场;普通商场,60102,116.5905253,40.01128096,180327
182,北京市,北京市,朝阳区,红坊路6号,华创生活广场(鸿博店),购物服务;商场;普通商场,60102,116.4681557,39.82739111,121737
183,北京市,北京市,朝阳区,双桥,天兰LifeStyle(双桥店),购物服务;商场;购物中心,60101,116.57057150000001,39.90767735,147476
184,北京市,北京市,朝阳区,北辰东路8号时代名门商场B1层,名门多福生活广场(时代名门商场店),购物服务;商场;普通商场,60102,116.4003693,39.99036294,173122
185,北京市,北京市,朝阳区,新东路1号,北京外交人员免税商店(分店),购物服务;商场;免税品店,60103,116.4438209,39.94297202,158143
186,北京市,北京市,朝阳区,慧忠路3号院,天阳恒瑞广场,购物服务;商场;普通商场,60102,116.405276,39.9941972,174552
187,北京市,北京市,朝阳区,机场西路2号航站楼F1层,日上免税行(2号航站楼),购物服务;商场;免税品店,60103,116.58838940000001,40.07819909,201032
188,北京市,北京市,朝阳区,湖景东路9号,天虹商场(北京新奥店),购物服务;商场;普通商场,60102,116.3897699,39.999998100000006,176688
189,北京市,北京市,朝阳区,北苑家园秋实街1号易事达广场,世代百货,购物服务;商场;普通商场,60102,116.415457,40.04058842,189549
190,北京市,北京市,朝阳区,阜通西大街11号,合生·麒麟新天地,购物服务;商场;购物中心,60101,116.471635,39.99579784,175288
191,北京市,北京市,朝阳区,双桥路3号,东星时尚广场,购物服务;商场;购物中心,60101,116.56990379999999,39.90734473,147476
192,北京市,北京市,朝阳区,小鲁店双桥西路大一村旁(鸿天公寓东北),铜锣湾,购物服务;商场;商场,60100,116.58534350000001,39.83721006,125347
193,北京市,北京市,朝阳区,三里屯路19号,三里屯太古里北区,购物服务;商场;普通商场,60102,116.44833799999999,39.93716873,156716
194,北京市,北京市,朝阳区,[],四元桥购物中心,购物服务;商场;普通商场,60102,116.45515900000001,39.97756473,169571
195,北京市,北京市,朝阳区,管庄乡,管庄购物城,购物服务;商场;普通商场,60102,116.5850685,39.91146114,148195
196,北京市,北京市,朝阳区,世贸广场·工三,世茂广场(工三店),购物服务;商场;购物中心,60101,116.4431784,39.9336131,155287
197,北京市,北京市,朝阳区,马泉营南门北300米路东,马泉营购物中心,购物服务;商场;购物中心,60101,116.50707849999999,40.03583393,188152
198,北京市,北京市,朝阳区,酒仙桥路庚21号,百分百商城,购物服务;商场;普通商场,60102,116.4830857,39.96647286,166010
199,北京市,北京市,朝阳区,建国路87号,北京SKP,购物服务;商场;购物中心,60101,116.4729415,39.90894399,147443
200,北京市,北京市,朝阳区,东三环中路富力广场2层北区2号,VERO MODA(富力广场店),购物服务;服装鞋帽皮具店;品牌服装店|购物服务;商场;商场,061101|060100,116.4546197,39.8953158,143153
201,北京市,北京市,朝阳区,日坛北路19号,雅宝城,购物服务;商场;普通商场,60102,116.4353827,39.91732033,150286
202,北京市,北京市,朝阳区,朝阳北路20号院,陆港城下沉广场,购物服务;商场;普通商场,60102,116.5869371,39.92393509,152480
203,北京市,北京市,朝阳区,周庄村52号,铭泽生活广场,购物服务;商场;购物中心,60101,116.4707365,39.861948100000006,133162
204,北京市,北京市,朝阳区,北四环东路108号千鹤家园,华堂商场(亚运村店),购物服务;商场;商场,60100,116.4145428,39.98658914,172413
205,北京市,北京市,朝阳区,朝阳路京通苑30号楼,Plus365购物中心,购物服务;商场;购物中心,60101,116.59000149999999,39.91138404,148197
206,北京市,北京市,朝阳区,建国路93号,万达广场(北京CBD店),购物服务;商场;购物中心,60101,116.46535690000002,39.90886527,147440
207,北京市,北京市,朝阳区,大羊坊路37号,闽龙广场,购物服务;家居建材市场;家具建材综合市场|购物服务;商场;购物中心,060601|060101,116.4700831,39.85436572,130306
208,北京市,北京市,朝阳区,北苑路28号院1号楼,潮驿178,购物服务;商场;普通商场,60102,116.4100957,40.03933154,188833
209,北京市,北京市,朝阳区,管庄路3号,万鑫佰隆购物商城,购物服务;商场;购物中心,60101,116.585819,39.91586816,149623
210,北京市,北京市,朝阳区,小营路6号,道尔泰商城(装修中),购物服务;商场;普通商场,60102,116.41983540000001,39.99511372,175271
211,北京市,北京市,朝阳区,大屯里317号,金泉时代广场1号楼,购物服务;商场;购物中心,60101,116.4093025,40.00426074,178123
212,北京市,北京市,朝阳区,建国门外大街1号,国贸商城(西区),购物服务;商场;购物中心,60101,116.45105840000001,39.90810097,147435
213,北京市,北京市,朝阳区,亮马桥路52号,燕莎友谊商城,购物服务;商场;购物中心,60101,116.456825,39.94754493,159575
214,北京市,北京市,朝阳区,工人体育场北路8号三里屯soho,三里屯SOHO商场2,购物服务;商场;普通商场,60102,116.44796969999999,39.93121417,154574
215,北京市,北京市,朝阳区,林萃路琳萃西里16号楼,华创生活广场(林萃路店),购物服务;商场;普通商场,60102,116.36626909999998,40.00870529,179536
216,北京市,北京市,朝阳区,来广营红军营东路18号,朝来荣盛商业中心,购物服务;商场;普通商场,60102,116.4299452,40.03569867,188126
217,北京市,北京市,朝阳区,西直河中心街甲2号,华联淘宝城,购物服务;商场;普通商场,60102,116.52163759999999,39.84330551,126753
218,北京市,北京市,朝阳区,望京南湖公园201号楼,中福百货,购物服务;商场;普通商场,60102,116.4574374,39.99926135,175998
219,北京市,北京市,朝阳区,北三环安贞西里五区4号凯德MALL·安贞,华联商厦(安贞店)(装修中),购物服务;商场;购物中心,60101,116.3949012,39.96930048,166694
220,北京市,北京市,朝阳区,双桥路2号院2号,国泰百货(双桥店),购物服务;商场;普通商场,60102,116.57174270000002,39.90736744,147477
221,北京市,北京市,朝阳区,建国路79号,华贸购物中心,购物服务;商场;购物中心,60101,116.4748294,39.90807535,147443
222,北京市,北京市,朝阳区,和平里西街21号,天丰利市场,购物服务;商场;普通商场,60102,116.41124769999999,39.96114072,164558
223,北京市,北京市,朝阳区,三里屯路7号东外大街路北(京谊大厦北侧),北京市友谊超级商场,购物服务;商场;普通商场,60102,116.448923,39.94213481,158145
224,北京市,北京市,朝阳区,甘露园中里,佳亿·青年汇,购物服务;商场;购物中心,60101,116.51133929999999,39.92052011,151740
225,北京市,北京市,朝阳区,亚运村大屯里317号楼(5号线地铁大屯路东站),金泉广场购物中心,购物服务;商场;购物中心,60101,116.4092476,40.00373673,177409
226,北京市,北京市,朝阳区,慧忠北里309-6号第五大道精品休闲购物广场B1层,日购商城,购物服务;商场;普通商场,60102,116.4007139,40.00189852,177406
227,北京市,北京市,朝阳区,东三环中路22号,乐成中心SPACE3,购物服务;商场;购物中心,60101,116.4563514,39.89307105,142439
228,北京市,北京市,朝阳区,西直河中心街甲1号,西直河商业中心,购物服务;商场;商场,60100,116.5215895,39.84306439,126753
229,北京市,北京市,朝阳区,东四环中路195号,华腾新天地(大郊亭南街),购物服务;商场;普通商场,60102,116.48238329999998,39.88416523,139592
230,北京市,北京市,朝阳区,蓝色港湾国际商区1-3层,儿童城(蓝色港湾店),购物服务;商场;普通商场,60102,116.47186570000001,39.94864137,160294
231,北京市,北京市,朝阳区,来广营香宾路66号,天陆购物中心,购物服务;商场;购物中心,60101,116.45853290000001,40.01535035,181710
232,北京市,北京市,朝阳区,来广营朝阳北苑清河营南街七号院3号楼,华贸天地,购物服务;商场;普通商场,60102,116.4266479,40.04499052,190981
233,北京市,北京市,朝阳区,北辰东路8号,时代名门百货,购物服务;商场;普通商场,60102,116.40025729999999,39.99011893,173122
234,北京市,北京市,朝阳区,东四环中路76号大成国际中心(d座),遛99遛弯淘宝区(东四环中路),购物服务;商场;普通商场,60102,116.4865402,39.89834382,144591
235,北京市,北京市,朝阳区,和平西街21号天丰利市场4层,天丰利商场(和平里店),购物服务;商场;购物中心,60101,116.4113138,39.96129576,164558
236,北京市,北京市,朝阳区,北苑路42号,京妮儿童汇(北苑店),购物服务;商场;商场,60100,116.41246090000001,40.03171351,186692
